player,player id
Adam Hadwin,5548
Alexander Noren,3832
Andrew Putnam,5502
Adam Schenk,10372
Adam Scott,388
Aaron Wise,10577
Branden Grace,4383
Brian Harman,1225
Bo Hoag,4780
Billy Horschel,1651
Beau Hossler,6011
Brooks Koepka,6798
Benjamin Silverman,8910
Brian Stuard,3599
Corey Conners,9126
Chan Kim,5724
Collin Morikawa,10592
Chase Seiffert,8975
Cameron Smith,9131
Cameron Tringale,4645
Cameron Young,4425906
Daniel Berger,9025
Dustin Johnson,3448
Danny Lee,3950
David Lingmerth,5574
Denny McCarthy,10054
Davis Riley,10058
Francesco Molinari,1483
Guido Migliozzi,9474
Grayson Murray,5462
Gary Woodland,3550
Hayden Buckley,4364752
Harris English,5408
Hideki Matsuyama,5860
Harold Varner III,6991
Jonas Blixt,3856
Joseph Bramlett,5902
Joel Dahmen,6196
Jim Furyk,153
Joohyung Kim,4602673
Jason Kokrak,3317
Joaquin Niemann,11099
Jon Rahm,9780
Justin Rose,569
Jordan Spieth,5467
Justin Thomas,4848
Keegan Bradley,4513
Kevin Chappell,3857
Kevin Kisner,2552
Kurt Kitayama,10364
Kyoung-Hoon Lee,7083
Kevin Na,318
Kalle Samooja,7055
Lanto Griffin,5962
Lucas Herbert,10343
Luke List,1059
Louis Oosthuizen,1293
MJ Daffue,7110
Matthew Fitzpatrick,9037
Max Homa,8973
Mackenzie Hughes,6931
Marc Leishman,3351
Matthew NeSmith,6954
Mito Pereira,9931
Nick Hardy,10048
Nick Taylor,3792
Patrick Cantlay,6007
Patton Kizzire,3980
Phil Mickelson,308
Patrick Reed,5579
Patrick Rodgers,6825
Ryan Fox,4251
Russell Henley,5409
Rikuya Hoshino,4350033
Roger Sloan,6090
Sam Burns,9938
Stewart Cink,78
Sergio Garcia,158
Sam Horsfield,10049
Sungjae Im,11382
Si Woo Kim,7081
Satoshi Kodaira,9076
Shane Lowry,4587
Shaun Norris,5057
Seamus Power,6001
Scottie Scheffler,9478
Scott Stallings,3378
Sepp Straka,8961
Tony Finau,2230
Talor Gooch,9513
Tyrrell Hatton,5553
Tom Hoge,6086
Troy Merritt,3970
Thorbjorn Olesen,5140
Thomas Pieters,9031
Victor Perez,11340
Wyndham Clark,11119
Webb Simpson,1614
Will Zalatoris,9877
Abraham Ancer,9261
Akshay Bhatia,4419142
Alvaro Ortiz,10481
Bryson DeChambeau,10046
Brad Kennedy,1470
Brendan Steele,3596
Brendon Todd,3454
Bubba Watson,780
Bernd Wiesberger,4317
Chris Baker,4628
Christiaan Bezuidenhout,9243
Cameron Champ,11098
Cole Hammer,10047
Charley Hoffman,205
Carlos Ortiz,5532
Chez Reavie,769
Charl Schwartzel,1097
Dylan Frittelli,5167
Dylan Meyer,11115
Dylan Wu,4423323
Eric Cole,10522
Erik van Rooyen,9364
Fabian Gomez,3375
Garrick Higgo,11393
Greyson Sigg,11333
Hayden Springer,10562
Henrik Stenson,576
Ian Poulter,619
John Huh,5797
Joe Long,4705886
J.T. Poston,10505
J.J. Spaun,10166
Justin Suh,10583
Jhonattan Vegas,1030
Jimmy Walker,446
Kevin Streelman,1077
Kyle Westmoreland,11105
Lee Westwood,455
Matt Jones,1367
Martin Kaymer,3670
Matt Kuchar,257
Martin Laird,2571
Matthias Schmid,4566443
Matt Wallace,10548
Matthew Wolff,4412121
Ollie Osborne,4567806
Paul Barjon,10831
Paul Casey,72
Peter Malnati,5692
Rafa Cabrera Bello,4321
Ryo Ishikawa,4047
Robert MacIntyre,11378
Rory McIlroy,3470
Ryan Palmer,962
Robby Shelton,9531
Sung Kang,4449
Sebastian Munoz,10404
Spencer Ralston,4683972
Sam Ryder,7001
Sahith Theegala,10980
Thomas Detry,4837
Tommy Fleetwood,5539
Taylor Pendrith,9658
Tyler Strafaci,11447
Wilco Nienaber,4408396
Wade Ormsby,1489
Xander Schauffele,10140
Yosuke Asaji,4566423
Zach Johnson,686
Zack Sucher,4708
Adam Long,6015
Andy Ogletree,4683804
Andy Sullivan,5956
Byeong Hun An,5285
Brandt Snedeker,1222
Brandon Wu,4355673
Chesson Hadley,5704
Charles Howell III,208
Curtis Luck,10910
Davis Thompson,4602218
Danny Willett,4304
Eddie Pepperell,6629
Graeme McDowell,301
John Augenstein,4421475
Jason Day,1680
Justin Harding,5825
Jim Herman,3598
Jazz Janewattananond,9413
John Pak,4691933
JC Ritchie,9374
James Sugrue,4566449
Lucas Glover,676
Lee Hodges,4404991
Lukas Michel,4691932
Mark Hubbard,9143
Marty Jertson,5769
Mike Lorenzo-Vera,4272
Matthias Schwab,5729
Michael Thompson,3688
Paul Waring,3474
Rickie Fowler,3702
Rasmus Hojgaard,11253
Romain Langasque,10099
Rory Sabbatini,377
Ryan Vermeer,3284
Richy Werenski,9804
Scott Hend,1178
Shugo Imahira,10630
Stephan Jaeger,6937
Steve Stricker,412
Sami Valimaki,4585548
Tyler Duncan,9569
Takumi Kanaya,4410612
Tom Lewis,5868
Tiger Woods,462
Viktor Hovland,4364873
Aaron Baddeley,16
Austin Eckroat,4425898
Anirban Lahiri,4989
Alex Prugh,3322
Brian Davis,1049
Charlie Danielson,10442
Cody Gribble,8971
C.T. Pan,6017
Dean Burmester,5830
Ernie Els,123
Emiliano Grillo,5882
Hao-Tong Li,5934
Jason Dufner,110
Julian Etulain,5259
J.B. Holmes,1067
Kiradech Aphibarnrat,5771
Keith Mitchell,8906
Kyle Stanley,1778
Lucas Bjerregaard,9575
Luke Donald,601
Mikumu Horikawa,4425900
Marcus Kinhult,9496
Mike Weir,453
Nate Lashley,1600
Ollie Schniederjans,9568
Roberto Castro,3740
Rob Oppenheim,1733
Scott Piercy,1037
Sam Saunders,1613
Zac Blair,9040
